name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
Ulric De Varens Gold Issime EDP 75ml ,,,,Women,,,,,/uae-en/gold-issime-edp-75ml/N11202704A/p?o=a839982655c5b16a,,,75 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyonce Heat EDP 100ml ,"Giant Sequoia Milkwood, Tonka Bean and Amber",,,Women,,,"Almond Macaroon, Honeysuckle Nectar and Musk",,/uae-en/heat-edp-100ml/N11202479A/p?o=bcfc2c18a4fbd48c,,,100 ml,"Red Vanilla Orchid, Magnolia, Neroli and Blush Peach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature Collection Senorita EDP 100ml ,,,,Unisex,,,,8437018391080,/uae-en/senorita-edp-100ml/N30645378A/p?o=c30e2a928203778e,,,100 ml,,Floral And Musk,,8437018391080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristel Saint Martin Shine Like Diamonds EDP 100ml ,"Sandalwood, Amber",,,Women,,,"Jasmine, Rose",,/uae-en/shine-like-diamonds-edp-100ml/N23426334A/p?o=e5930362e25ae16c,,,100 ml,"Mandarin Orange, Freesia and Bergamot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruky Perfumes Crespi Italians EDP 100ml ,,,United Arab Emirates (UAE),Unisex,,,Fruity,,/uae-en/crespi-italians-edp-100ml/N32762875A/p?o=a8cf009c287ba01e,,,100 ml,,,,OG2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thameen Regent Leather EDP 50ml ,"Patchouli, Cedar Wood, Gurjum, Vanilla, Animalic, Musk, Labdanum",,,Women,,,"Jasmine, Saffron, Cardamom, Rose",,/uae-en/regent-leather-edp-50ml/N34132812A/p?o=e9bcec495cfb955a,,,50 ml,Lemon,,,724120129235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Lloyd Colour Me Gold EDP 100ml ,,,,Women,Splash,,,,/uae-en/colour-me-gold-edp-100ml/N14778410A/p?o=c23389b45fd83fac,,Oriental,100 ml,,,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERRY ELLIS Oud Black Vanilla Absolute EDP 100ml ,"White Tobacco, Black Amber",,,Men,Atomizer,,Agarwood,,/uae-en/oud-black-vanilla-absolute-edp-100ml/N19151150A/p?o=e262cfc21aa7559b,,,100 ml,Vanilla Absolute and Rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulric De Varens Miss Varens EDP 75ml ,,,,Women,,,,,/uae-en/miss-varens-edp-75ml/N11202705A/p?o=bf4edf5832b5b99c,,,75 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Blend Attraction EDP 100ml ,,,,Unisex,,,,,/uae-en/attraction-edp-100ml/N11200397A/p?o=cba2c1fc4d4335ee,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acqua Di Parisis Intensa Wild Oud EDP 100ml ,,,,Unisex,,,,,/uae-en/intensa-wild-oud-edp-100ml/N11201150A/p?o=2384a256b1ee88c5,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whatever It Takes Pink EDP 100ml ,"Cedarwood, Sandalwood, Benzoin, Balsam, Musk, Vanilla",,,Women,,,"Plum, White Blossoms, Raspberry",,/uae-en/pink-edp-100ml/N34127732A/p?o=dd6aa434a870f7ad,,Floral,100 ml,"TANGERINE, BERGAMOT, PINK PEPPER, JASMINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acqua Di Parisis Black Oud EDP 100ml ,,,,Men,,,,,/uae-en/black-oud-edp-100ml/N11803344A/p?o=c6b8162e8e098e0e,,Floral,100 ml,,,,98786578418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature Prive Femme EDP 100ml ,,,,Women,,,,Signature,/uae-en/prive-femme-edp-100ml/N11202270A/p?o=e2357edb952e802b,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE GALION Sortilege EDP 100ml ,"Indonesian Sandalwood, Vetiver, Labdanum, Musk and Amber",,France,Unisex,,,"Egyptian Jasmine, Mimosa, Narcissus, Turkish Rose and Iris",,/uae-en/sortilege-edp-100ml/N11203231A/p?o=a21a6c9c5e2a073c,,,100 ml,"Lilly of the Valley, Lilac, Ylang Ylang and Aldehydes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etienne Aigner Pour Femme Natural Spray EDP 60ml ,"Amber, Patchouli, White Musk and Woody Cedar",,,Women,,,"Bulgarian Rose, Freesia and Apricot",,/uae-en/pour-femme-natural-spray-edp-60ml/N11202555A/p?o=aa51168a63fb2f1d,,,60 ml,"Spicy Black Pepper, Fresh Dew Drops, Bergamot and Mandarin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulric De Varens I Love You EDP 75ml ,,,,Women,,,,,/uae-en/i-love-you-edp-75ml/N11202703A/p?o=b3e12147d0f82d7c,,,75 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENRICOGI Oud Prive EDP 100ml ,,,,Unisex,,,,,/uae-en/oud-prive-edp-100ml/N13233894A/p?o=f4d722f3d00caa4b,,Arabian,100 ml,,,,,,,,,,,"Pink Pepper, Labdanum and Caramel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britney Spears Fantasy The Naughty Remix EDP 100ml ,"sensual Woody Notes, Orris Root And Creamy Musk",,,Women,,,"White Chocolate Orchid, Sweet Cupcake Accord",,/uae-en/fantasy-the-naughty-remix-edp-100ml/N14778178A/p?o=cc59d083f948e42f,,Woody,100 ml,Jasmine Petals,,,,"Jasmine Petals, White Chocolate Orchid And Sweet Cupcake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE GALION Tubereuse EDP 100ml ,"Cedar, Amber and Musk",,France,Unisex,,,"Tuberose, Rose ,Orange Blossom and Raspberry",,/uae-en/tubereuse-edp-100ml/N11203232A/p?o=f585def7d2e68adc,,,100 ml,"Mandarin, Galbanum, Pink Berry and Pear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Paul Dupont Connect Donna EDP 100ml ,"Sugar, Soft Musk & Patchouli",,,Women,,,Jasmine & Violet,,/uae-en/connect-donna-edp-100ml/N11204520A/p?o=fa0a3d5411aa5cad,,,100 ml,Strawberry & Mandarin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYREDO Flowerhead EDP 100ml ,Suede and Ambergris,,,Women,,,"Jasmine Sambac, Green Notes, Tuberose and Rose Petals",,/uae-en/flowerhead-edp-100ml/N12582187A/p?o=dde06dccdd4e47ac,,Floral,100 ml,"Angelica, Cranberry and Lemon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE GALION 222 EDP 100ml ,"Oak Moss, Sandalwood, Vanilla and Leather Notes",,France,Unisex,,,"Myrrh, Styrax, Lavender and White Musk",,/uae-en/222-edp-100ml/N11203238A/p?o=dd7552c14cc0bb8a,,,100 ml,Violet flowers and Kasmhir Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean antoine Melody EDP 100ml ,,,Saudi Arabia,Women,,,,,/uae-en/melody-edp-100ml/N20681213A/p?o=ea7f48e3d2dc00dd,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasomatto Blamage EDP 30ml ,,,,Unisex,Splash,,,,/uae-en/blamage-edp-30ml/N14790059A/p?o=ec7f56ea8bd33cfb,,Floral,30 ml,,,,,,,,,,,"Fruity accord, sandalwood, amber and patchouli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo Paris Lalibela EDP 75ml ,,,,Women,,,,Lalibela,/uae-en/lalibela-edp-75ml/N12582225A/p?o=b404895a1eaf1bce,,Floral,75 ml,"Rose absolute, Patchouli, Frankincence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUIS VAREL Reflex White EDP 100ml ,Vanilla and Modern Musk,,France,Women,Splash,,"Orange Flower, Sandal, Rose, Jasmine and Sambac",,/uae-en/reflex-white-edp-100ml/N14335432A/p?o=e94e2e83231cfcce,,,100 ml,"Bergamot, Lemon, Orange, Caramel, Berries and Blackcurrant",,,3760168631382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE WOODS COLLECTION Dark Forest The Woods Collection EDP 100ml ,,,,Unisex,,,,,/uae-en/dark-forest-the-woods-collection-edp-100ml/N11805856A/p?o=daba4a2e30b8605b,,,100 ml,,,,98786581210,,,,,,,"Ginger, Vanilla, Neroli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rena Black Dust Limited Edition EDP 100ml ,,,,Unisex,Atomizer,,,Black Dust Limited Edition,/uae-en/black-dust-limited-edition-edp-100ml/N23046195A/p?o=a8de02178fcb819e,,,100 ml,,Oriental and Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASAMAT Italian Bergamont EDP 100ml ,,,,Unisex,,,,,/uae-en/italian-bergamont-edp-100ml/N11075727A/p?o=bd8d8f23670c0ffa,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacques Fath Les Folies De Fath EDP 100ml ,"Patchouli, sandalwood, vanilla and musk",,,Women,,,"Ris root absolute, rose absolute, orange blossom absolute and essence of pepper",,/uae-en/les-folies-de-fath-edp-100ml/N21408404A/p?o=d529d9dc2ea450fe,,Floral,100 ml,"Pink pepper, black currant, pear, bergamot essence and litchi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emper Qubism EDP 100ml ,,,,Women,,,,,/uae-en/qubism-edp-100ml/N13847474A/p?o=f22a9be5ff7bd2bb,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amouroud Bois D'Orient EDP 100ml ,"Amber, Peru Balsam, Vetiver and Patchouli",,,Unisex,Atomizer,,"Ylang-Ylang, Galbanum and Delicate Turkish Rose",Bois D'Orient,/uae-en/bois-d-orient-edp-100ml/N26481683A/p?o=aea9a54ff93ba04e,,Arabian,100 ml,"Bergamot, Blackcurrant and Cinnamon Bark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUAGE The Library Collection Opus V EDP 100ml ,"Agarwood, Civet, Dry Wood Accord",,,Women,,,"Orris Concrete, Rose, Jasmine",,/uae-en/the-library-collection-opus-v-edp-100ml/N21408276A/p?o=b5f3cebaa6d53f3d,,Arabian,100 ml,"Orris Absolute, Rhum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte Valere Reacher EDP 100ml ,,,Saudi Arabia,Men,,,,,/uae-en/reacher-edp-100ml/N20681217A/p?o=c6f4db9f923fa5fe,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ormonde Jayne Ormonde Jayne Ormonde Man EDP 120ml ,"Vetiver, Cedar, Sandalwood, Musk",,,Men,Atomizer,,"Agarwood (Oud), Black Hemlock Or Tsuga",Ormonde Man,/uae-en/ormonde-jayne-ormonde-man-edp-120ml/N26481800A/p?o=f9ffaa0f70f35eda,,Woody,120 ml,"Bergamot, Pink Pepper, Cardamom, Coriander, Juniper Berries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy Perry Purr EDP 100ml ,"Vanilla Orchid, Creamy Sandalwood, White Amber, Coconut And Musk",,,Women,Splash,,"Jasmine, Pink Freesia And Bulgarian Rose",,/uae-en/purr-edp-100ml/N13790113A/p?o=b2225a3eb3fc358d,,,100 ml,,,Yes,,,,,All,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectra Sea 36 EDP 100ml ,Wood And Ambroxan,,,Women,Pump,,Rose And Patchouli,SEA 36 (100 ml.),/uae-en/sea-36-edp-100ml/N30402818A/p?o=bcbc72470f32a45f,,,100 ml,,,Yes,6291106476200-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG Predator EDP 100ml ,White Amber,,,Women,,,Jasmine,NGP0031197,/uae-en/predator-edp-100ml/N30522931A/p?o=a4f31b4951efacbd,,,100 ml,Sensual And Seductive,,,Ngp0031197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Bloom Love In A Mist EDP 85ml ,"Cedar Wood, Amber, Musk",,,Women,,,"Fruits, Rose, Muguet Jasmine, Cinnamon",,/uae-en/bloom-love-in-a-mist-edp-85ml/N23116566A/p?o=bdce82224233c10d,,Floral,85 ml,"Lemon, Apple, Galbanum, Tagete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruky Perfumes Breeze EDP 100ml ,"Vanilla, Praline,Patchouli,Tonka Bean",,United Arab Emirates (UAE),Women,,,"Orange Blossom, Jasmine, Iris",,/uae-en/breeze-edp-100ml/N32762879A/p?o=e06bdec234a744dd,,,100 ml,"Pear, Blackcurrant, Aldehyde",,,OG2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruky Perfumes Yozer EDP 100ml ,Sweety,,United Arab Emirates (UAE),Unisex,,,Italian,,/uae-en/yozer-edp-100ml/N32762881A/p?o=a8cb1b3f9fc9a5fe,,,100 ml,,,,OG2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENCIA Artistic Bouquet EDP 100ml ,,,,Unisex,,,,Artistic Bouquet,/uae-en/artistic-bouquet-edp-100ml/N39003564A/p?o=f0a699e92104344b,,,100 ml,,,,301091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature Collection Duque EDP 100ml ,,,,Unisex,,,,Duque,/uae-en/duque-edp-100ml/N37431678A/p?o=a4a127dafafac87c,,,100 ml,,,,5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiziana Terenzi V Canto Lucrethia EDP 100ml ,"Cedar, Patchouli, Vanilla, Benzoin And Honeysuckle",,,Unisex,Splash,,"Cedar, Patchouli, Vanilla, Benzoin And Honeysuckle",,/uae-en/v-canto-lucrethia-edp-100ml/N13789979A/p?o=c9fbf2f74b83db3f,,Floral,,,,Yes,,,,,All,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyane Tradition Masculine Kingdom EDP 85ml ,,,,Men,,,,Masculine kingdom edp 85ml,/uae-en/masculine-kingdom-edp-85ml/N31299918A/p?o=ffc1e739874d5a2f,,,85 ml,,,,3700066738561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANANA REPUBLIC 83 Leather Reserve EDP 75ml ,"Musk, Sandalwood",,,Unisex,Atomizer,,Neroli and Cedar,,/uae-en/83-leather-reserve-edp-75ml/N23098324A/p?o=cd0365783fc77eae,,Woody,75 ml,,Woody,,840797116467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ard Al Zaafaran Daar Al Haneen EDP 100ml ,"Sandalwood, Musk, Oud, Saffron",,,Women,,,"Patchouli, Ginger, Amber Key",,/uae-en/daar-al-haneen-edp-100ml/N23102121A/p?o=da2a83a01554a50a,,,100 ml,"Rose, Jasmine, Ylang-Ylang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURBERRY My Burberry Black EDP 30ml ,"Amber, Patchouli",,,Women,,New,"Candied Roses, Peach Nectar",,/uae-en/my-burberry-black-edp-30ml/N13233882A/p?o=bec30acc8592e5bd,,Woody,30 ml,Jasmine,,,202675280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maison Francis Kurkdjian Paris Oud Satin Mood EDP 70ml ,,,France,Unisex,,,,Oud Satin Mood,/uae-en/oud-satin-mood-edp-70ml/N13560059A/p?o=d6ea7160ee34abce,,Woody,70 ml,,,,,,,,,,,,,,,"Agarwood (oud), Bulgarian Rose, Benzoin, Turkish Rose, Violet And Vanilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILILY Ardour EDP 25ml ,,,,Women,Pump,,,,/uae-en/ardour-edp-25ml/N21748337A/p?o=a9891750afb56a3d,,,25 ml,,,,,,,,,,,"Rose De Mai, Damask Rose, Bergamot, Mandarin Orange, Freesia, Black Currant, Vanilla, Osmanthus, Iris, Ambrette, Amber, Patchoul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Perfumes La De Nuit EDP 100ml ,Heart Of Patchouli Essence,,,Men,Splash,,"Pallida Iris Concrete, Orange Blossom And Jasmine Sambac Absolutes",,/uae-en/la-de-nuit-edp-100ml/N22446569A/p?o=bba490a18388d10f,,,100 ml,"Pear, Blackberry",,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emper Prive Casa  EDP For Women 100ml ,,Green/Gold,United Arab Emirates (UAE),Women,,New,,Prive Casa,/uae-en/prive-casa-edp-for-women-100ml/N44468648A/p?o=c696d1f7b6a707ff,,,100 ml,,,,6291103668783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Perfumes Rose Blossom EDP 100ml ,Musky Trail,,,Women,Splash,,Rose And Amber,,/uae-en/rose-blossom-edp-100ml/N22446595A/p?o=b1fba1b48d39ed1b,,Floral,100 ml,Saffron And Black Pepper,,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Perfumes Cute Kristen Madeleine EDP 100ml ,Tonka Bean And Cocoa.,,,Women,Splash,,"White Sambac, Jasmine And Tuberose",,/uae-en/cute-kristen-madeleine-edp-100ml/N22446555A/p?o=bbf7e0682db0385c,,,100 ml,Tuberose And Roasted Tonka Bean,,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Perfumes Angel Nights EDP 100ml ,"French Jasmine, Black Truffle, Ylang-ylang, Black Currant And Effervescent Citrus",,,Women,,,"French Jasmine, Black Truffle, Ylang-ylang, Black Currant And Effervescent Citrus",,/uae-en/angel-nights-edp-100ml/N22796245A/p?o=f9ad5dc4517a09ef,,Floral,100 ml,"French Jasmine, Black Truffle, Ylang-ylang, Black Currant And Effervescent Citrus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maison Francis Kurkdjian Paris OUD Silk Mood EDP 70ml ,,,France,Unisex,,,,OUD Silk Mood,/uae-en/oud-silk-mood-edp-70ml/N13560048A/p?o=f5f5c08d556061cd,,Arabian,70 ml,,,,,,,,,,,,,,,"Bulgarian Rose, Chamomile, Natural Oud, Papyrus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gianni Venturi Club VIP Pour Homme EDP 100ml ,,,,Men,,,,CF284,/uae-en/club-vip-pour-homme-edp-100ml/N29748853A/p?o=ac83b7122de6964e,,,100 ml,,,,CF284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANVIN Rumeur 2 Rose EDP 100ml ,,,,Women,Pump,,,,/uae-en/rumeur-2-rose-edp-100ml/N15566814A/p?o=fee0ad6a9e03764b,,Floral,100 ml,,,,,,,,,,,"Orange, Rose, Magnolia, Jasmine, Patchouli, And Musk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE WOODS Dancing Leaves EDP 100ml ,"Cedar, Tonka Beans, Amber and Benzoin",,,Unisex,,,Orange Blossom,,/uae-en/dancing-leaves-edp-100ml/N11075921A/p?o=d2d7d12900ec83dc,,,100 ml,"Bergamot, Lemon and Mandarin Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGHBA Arabic EDP 100ml ,,,,Women,Atomizer,,,,/uae-en/arabic-edp-100ml/N20791271A/p?o=e132a6e5c9e1b16f,,,100 ml,,,,,,,,,,,"Agarwood (Oud), Musk, Vanilla, Sugar, Sandalwood and Incense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellegance Midnight Promise EDP 2.5ounce ,,,,Women,Pump,,,,/uae-en/midnight-promise-edp-2-5ounce/N31470699A/p?o=a624e59ac2dae8ec,,,2.5 ounce,,,Yes,IDXFX534327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
